,MSA,price
0,七星岗,10070.41
1,万寿路,7846.82
2,三亚湾,12240.0
3,三板溪,9493.0
4,上新街,11033.84
5,上桥,9765.8
6,上浩,10513.24
7,上湾路,11908.0
8,丛岩寺,17197.73
9,两路口,9998.83
10,中央公园,16156.06
11,中央公园东,18304.8
12,中央公园西,14561.04
13,中梁山,9412.28
14,临江门,11015.48
15,丹鹤,14137.78
16,举人坝,9569.64
17,九公里,9195.15
18,九曲河,20837.67
19,九龙园,6548.0
20,二郎,9350.25
21,五里店,11166.43
22,享堂,2160.67
23,人和,12253.63
24,仁济,11963.67
25,体育公园,13148.7
26,何家梁,10548.11
27,佛图关,10955.5
28,保税港,13105.53
29,光电园,14148.77
30,八公里,8689.44
31,六公里,11221.79
32,兰桂大道,15406.82
33,兰花路,13845.29
34,兴科大道,7546.55
35,冉家坝,13644.28
36,凤西路,10210.26
37,凤鸣山,11078.29
38,刘家台,14707.51
39,刘家坝,7221.0
40,刘家坪,13700.32
41,刘家院子,11918.5
42,动步公园,12812.54
43,动物园,9549.8
44,化龙桥,12257.52
45,北碚,5989.21
46,半山,8622.31
47,华岩中心,8513.0
48,华岩寺,8938.6
49,华成路,8987.14
50,华新街,11586.84
51,华龙,9238.91
52,南坪,7241.5
53,南桥寺,11085.9
54,南湖,10917.56
55,双凤桥,7263.35
56,双碑,7495.96
57,双福,5326.33
58,双龙,7458.96
59,后堡,7919.0
60,向家岗,6428.7
61,和睦路,10429.32
62,唐家沱,7644.43
63,唐家院子,10982.75
64,嘉州路,9494.84
65,四公里,8600.24
66,回兴,7850.66
67,园博中心,9067.75
68,园博园,10631.83
69,国博中心,14016.31
70,土湾,9826.36
71,圣泉寺,7568.6
72,复兴,10563.17
73,复盛,8745.0
74,大剧院,12353.79
75,大坪,11207.14
76,大堰村,8254.1
77,大学城,9189.0
78,大山村,9271.45
79,大江,6373.27
80,大渡口,9686.23
81,大溪沟,12242.45
82,大石坝,10874.22
83,大礼堂,10766.09
84,大竹林,14992.65
85,大龙山,10984.08
86,天堂堡,7938.67
87,天星桥,9333.84
88,天梨路,9024.22
89,太平冲,7074.0
90,头塘,14245.79
91,奥体中心,10188.17
92,学堂湾,9600.62
93,宝圣湖,9177.39
94,富华路,12405.22
95,寸滩,9582.86
96,小什字,10974.18
97,小龙坎,9267.63
98,尖顶坡,14973.79
99,岔路口,9156.27
100,工贸,7728.51
101,巴山,10028.28
102,平安,8755.27
103,幸福广场,15200.47
104,康庄,15938.91
105,建桥,10773.0
106,弹子石,14567.94
107,彩云湖,10989.21
108,微电园,11916.5
109,忠恕沱,11663.44
110,思源,11783.25
111,悦来,9915.0
112,悦港北路,16894.25
113,悦港大道,17914.2
114,新山村,8207.95
115,新桥,8495.29
116,春华大道,12931.93
117,普福,5638.0
118,曹家湾,13627.95
119,曾家岩,11138.42
120,朝天门,11126.63
121,李子坝,11475.9
122,李家坪,14402.35
123,杨公桥,9915.22
124,杨家坪,9455.18
125,椿萱大道,16834.56
126,欢乐谷,17455.0
127,歇台子,8541.96
128,民安大道,11495.11
129,民心佳园,15821.25
130,江北城,14723.18
131,江北机场T2航站楼,6272.05
132,江津高铁,11373.0
133,沙坪坝,8921.26
134,沙河坝,9716.0
135,洪湖东路,12175.43
136,海峡路,11000.55
137,海棠溪,6527.94
138,涂山,14684.53
139,清溪河,8945.0
140,渝北广场,6947.98
141,渝鲁,11828.46
142,湖霞街,19583.95
143,溉澜溪,13691.52
144,烈士墓,9838.52
145,牛角沱,10680.64
146,状元碑,9578.22
147,狮子坪,11522.96
148,玉带山,11449.32
149,玉河沟,14878.89
150,王家庄,14156.67
151,环山公园,9881.67
152,璧山,5090.94
153,甘悦大道,12471.67
154,白居寺,5837.0
155,石井坡,8020.92
156,石新路,9745.17
157,石林寺,5066.0
158,石桥铺,8767.86
159,石河清,5951.0
160,石油路,10271.49
161,石盘河,12814.67
162,石船,5154.0
163,碧津,5856.41
164,磁器口,9898.42
165,礼嘉,20821.33
166,空港广场,7834.74
167,童家院子,14802.64
168,红土地,11784.69
169,红岩坪,11776.57
170,红岩村,10736.81
171,红旗河沟,9954.28
172,罗家坝,6797.09
173,翠云,13354.8
174,花卉园,9333.76
175,花溪,8649.46
176,花石沟,18782.0
177,茶园,12377.89
178,莲花,8959.62
179,蔡家,9933.96
180,蚂蝗梁,12368.33
181,袁家岗,10610.96
182,西南大学,7846.68
183,观月路,9248.83
184,观音桥,11169.38
185,谢家湾,10091.6
186,赖家桥,11345.08
187,跳磴,5066.0
188,较场口,11235.15
189,邮轮母港,13290.58
190,邱家湾,12724.29
191,郑家院子,10527.78
192,重光,18482.43
193,重庆交通大学,12391.64
194,重庆北站北广场,12895.46
195,重庆北站南广场,12611.06
196,重庆图书馆,10860.81
197,重庆大学,12003.34
198,重庆工商大学,10860.36
199,重庆西站,8494.67
200,金家湾,8501.4
201,金山寺,18801.42
202,金建路,10521.71
203,金渝,12406.9
204,金童路,15626.53
205,金竹,7270.1
206,铁山坪,6974.0
207,铜元局,11829.08
208,长河,12125.0
209,长生桥,11038.48
210,长福路,12000.89
211,陈家坪,9335.56
212,陈家桥,10839.92
213,雁坪,7131.93
214,青岗坪,10699.75
215,马家岩,8593.63
216,马王场,8178.06
217,高义口,14707.11
218,高堡湖,8798.73
219,高庙村,10360.3
220,高滩岩,10149.6
221,高石塔,8552.25
222,鱼嘴,6514.8
223,鱼洞,7548.14
224,鱼胡路,7460.05
225,鲁家沟,23432.0
226,鲤鱼池,12307.69
227,鸳鸯,15356.83
228,鹅岭,10431.3
229,鹿山,15921.24
230,麒龙,9050.41
231,黄泥塝,10897.79
232,黄花园,11818.11
233,黄茅坪,15486.0
234,黑石子,13070.8
235,龙兴,11249.25
236,龙凤溪,10052.45
237,龙头寺,13232.2
238,龙头寺公园,11548.36
239,龙驿大道,10016.67
